symbol,orderId,orderListId,clientOrderId,price,origQty,executedQty,cummulativeQuoteQty,status,timeInForce,type,side,stopPrice,icebergQty,time,updateTime,isWorking,workingTime,origQuoteOrderQty,selfTradePreventionMode,preventedMatchId,preventedQuantity
BTCUSDT,1044060913,-1,LcmuMAOkz03ONX2qUPCi0u,0.00000000,0.00064000,0.00064000,19.35037440,FILLED,GTC,MARKET,BUY,0.00000000,0.00000000,1689552181035,1689552181035,True,1689552181035,0.00000000,EXPIRE_MAKER,,
BTCUSDT,1044060916,-1,54ohmKXb7IKHYjIpFCdOvl,30237.67000000,0.00064000,0.00064000,19.35210880,FILLED,GTC,LIMIT,SELL,0.00000000,0.00000000,1689552181670,1689552679780,True,1689552181670,0.00000000,EXPIRE_MAKER,,
BTCUSDT,1044061185,-1,MPGJn0cauweHZLqB8J6kNw,0.00000000,0.00061000,0.00061000,18.43724390,FILLED,GTC,MARKET,BUY,0.00000000,0.00000000,1689552241025,1689552241025,True,1689552241025,0.00000000,EXPIRE_MAKER,,
BTCUSDT,1044061186,-1,RFHK7s42I6ir7KlWra3QRA,30225.82000000,0.00061000,0.00061000,18.43775020,FILLED,GTC,LIMIT,SELL,0.00000000,0.00000000,1689552241270,1689552672172,True,1689552241270,0.00000000,EXPIRE_MAKER,,
BTCUSDT,1044061449,-1,Sz9WbWY4UbiY8szhILudBi,0.00000000,0.00057000,0.00057000,17.21969430,FILLED,GTC,MARKET,BUY,0.00000000,0.00000000,1689552300899,1689552300899,True,1689552300899,0.00000000,EXPIRE_MAKER,,
BTCUSDT,1044061452,-1,bLVp9WWWENkZGETU59zVoF,30213.01000000,0.00057000,0.00057000,17.22141570,FILLED,GTC,LIMIT,SELL,0.00000000,0.00000000,1689552301126,1689552374607,True,1689552301126,0.00000000,EXPIRE_MAKER,,
BTCUSDT,1044061808,-1,jeqo8H9ovrG1sKmd7eiUMu,0.00000000,0.00037000,0.00037000,11.17585740,FILLED,GTC,MARKET,SELL,0.00000000,0.00000000,1689552361060,1689552361060,True,1689552361060,0.00000000,EXPIRE_MAKER,,
BTCUSDT,1044061813,-1,D7K3IjU7dr8vYSyTiHqKK0,30194.28000000,0.00037000,0.00037000,11.17188360,FILLED,GTC,LIMIT,BUY,0.00000000,0.00000000,1689552361324,1689552514378,True,1689552361324,0.00000000,EXPIRE_MAKER,,
BTCUSDT,1044062038,-1,Rrxi9oqh9uegt3XbgqQ0ON,0.00000000,0.00057000,0.00057000,17.21683290,FILLED,GTC,MARKET,BUY,0.00000000,0.00000000,1689552420845,1689552420845,True,1689552420845,0.00000000,EXPIRE_MAKER,,
BTCUSDT,1044062045,-1,Dx3YxIUdkunGSZJQfPX6Ip,30227.71000000,0.00057000,0.00057000,17.22979470,FILLED,GTC,LIMIT,SELL,0.00000000,0.00000000,1689552421217,1689552672188,True,1689552421217,0.00000000,EXPIRE_MAKER,,
BTCUSDT,1044062248,-1,KjOk1iyv2x8RNIEsD6Gg2u,0.00000000,0.00036000,0.00036000,10.87334640,FILLED,GTC,MARKET,SELL,0.00000000,0.00000000,1689552481163,1689552481163,True,1689552481163,0.00000000,EXPIRE_MAKER,,
BTCUSDT,1044062251,-1,0WYpJgzHATfGjr4ToFpiC9,30191.58000000,0.00036000,0.00000000,0.00000000,CANCELED,GTC,LIMIT,BUY,0.00000000,0.00000000,1689552481422,1689565626920,True,1689552481422,0.00000000,EXPIRE_MAKER,,
BTCUSDT,1044062526,-1,9l5XgzwM4kvHGm5hcvMgnF,0.00000000,0.00055000,0.00055000,16.61824450,FILLED,GTC,MARKET,BUY,0.00000000,0.00000000,1689552541071,1689552541071,True,1689552541071,0.00000000,EXPIRE_MAKER,,
BTCUSDT,1044062529,-1,b5i0TTjNLa7fM9Xy5BGTQk,30247.79000000,0.00055000,0.00055000,16.63628450,FILLED,GTC,LIMIT,SELL,0.00000000,0.00000000,1689552541332,1689552722670,True,1689552541332,0.00000000,EXPIRE_MAKER,,
BTCUSDT,1044062714,-1,PXuTFSLL1soCLh3khww9vA,0.00000000,0.00036000,0.00036000,10.87560460,FILLED,GTC,MARKET,SELL,0.00000000,0.00000000,1689552601191,1689552601191,True,1689552601191,0.00000000,EXPIRE_MAKER,,
BTCUSDT,1044062716,-1,ns6IQf55w1A20eDpmSFsfl,30197.49000000,0.00036000,0.00036000,10.87109640,FILLED,GTC,LIMIT,BUY,0.00000000,0.00000000,1689552601469,1689554849240,True,1689552601469,0.00000000,EXPIRE_MAKER,,
BTCUSDT,1044062868,-1,lCMoI4srplrvnm6v0ksdqc,0.00000000,0.00034000,0.00034000,10.27326300,FILLED,GTC,MARKET,SELL,0.00000000,0.00000000,1689552660907,1689552660907,True,1689552660907,0.00000000,EXPIRE_MAKER,,
BTCUSDT,1044062873,-1,28RusZ9WXo0L1EoD7DRWBZ,30207.94000000,0.00034000,0.00034000,10.27069960,FILLED,GTC,LIMIT,BUY,0.00000000,0.00000000,1689552661164,1689554791211,True,1689552661164,0.00000000,EXPIRE_MAKER,,
