Quantity,Price,Side
0.00010000,30444.53000000,BUY
0.00010000,30372.26000000,BUY
0.00010000,30444.12000000,BUY
0.00010000,30374.45000000,BUY
0.00010000,30401.55000000,BUY
0.00010000,30418.94000000,BUY
0.00010000,30387.66000000,BUY
0.00010000,30413.14000000,BUY
0.00010000,30381.29000000,BUY
0.00010000,30387.98000000,BUY
0.00010000,30402.57000000,BUY
0.00010000,30449.19000000,BUY
0.00010000,30712.37000000,BUY
0.00010000,30669.87000000,BUY
0.00027000,31250.00000000,SELL
0.00135000,31300.00000000,SELL
0.00135000,31400.00000000,SELL
0.00135000,31375.00000000,SELL
0.00135000,31350.00000000,SELL
