Quantity,Price,Side
0.0001,30839.989999999998,BUY,1688533446951
0.0001,30846.34,SELL,1688533447220
0.0001,30839.989999999998,BUY,1688533562957
0.0001,30834.06,SELL,1688533563108
0.0001,30844.999999999996,BUY,1688533624954
0.0001,30844.999999999996,BUY,1688533687321
0.0001,30838.34,SELL,1688533687596
0.0001,30844.999999999996,BUY,1688533749226
0.0001,30854.92,BUY,1688534598713
0.0001,30853.01,SELL,1688534598998
0.0001,30854.862,BUY,1688534660813
0.0001,30846.1,SELL,1688534661089
0.0001,30859.999999999996,BUY,1688534943106
0.0001,30856.37,SELL,1688534943391
0.0001,30849.969999999998,BUY,1688535302237
0.0001,30846.77,BUY,1688535393888
0.0001,30847.33,SELL,1688535394039
0.0001,30814.989999999998,BUY,1688539681072
0.0001,30460.01,SELL,1688619973399
0.0001,30460.01,SELL,1688620034355
0.0001,30468.03,SELL,1688620095490
0.0001,30468.03,SELL,1688620156109
0.0001,30450.039999999997,SELL,1688620216894
0.0001,30454.34,SELL,1688620277676
0.0001,30455.009999999995,SELL,1688620338296
0.0001,30455.009999999995,SELL,1688620399259
0.0001,30449.999999999996,SELL,1688620459880
0.0001,30450.03,SELL,1688620520753
0.0001,30460.02,SELL,1688620581779
0.0001,30460.05,SELL,1688620642713
0.0001,30489.999999999996,BUY,1688621522477
0.0001,30493.93,SELL,1688621522993
0.0001,30549.989999999998,BUY,1688621881709
0.0001,30555.9,SELL,1688621882269
0.0001,30583.309999999998,BUY,1688621942436
0.0001,30564.56,SELL,1688621942809
0.0001,30586.12,BUY,1688622003106
0.0001,30613.49,SELL,1688622003341
0.0001,30564.48,BUY,1688622063681
0.0001,30579.48,SELL,1688622063934
0.0001,30559.989999999998,BUY,1688622139723
0.0001,30543.87,SELL,1688622139990
0.0001,30564.989999999998,BUY,1688622240997
0.0001,30662.62,SELL,1688622241356
0.0001,30575.0,BUY,1688622301724
0.0001,30616.29,SELL,1688622301958
0.0001,30564.989999999998,BUY,1688622362424
0.0001,30670.16,SELL,1688622362795
0.0001,30579.999999999996,BUY,1688622423014
0.0001,30656.07,SELL,1688622423371
0.0001,30585.0,BUY,1688622483698
0.0001,30642.7,SELL,1688622483941
0.0001,30579.999999999996,BUY,1688622544456
0.0001,30625.27,SELL,1688622544699
0.0001,30559.98,BUY,1688622605403
0.0001,30621.16,SELL,1688622605778
0.0001,30560.0,BUY,1688622665934
0.0001,30610.84,SELL,1688622666316
0.0001,30564.989999999998,BUY,1688622727387
0.0001,30603.37,SELL,1688622727760
0.0001,30571.95,BUY,1688622787930
0.0001,30613.68,SELL,1688622788305
0.0001,30569.989999999998,BUY,1688622902939
0.0001,30622.21,SELL,1688622903172
0.0001,30569.98,BUY,1688622963817
0.0001,30594.69,SELL,1688622964308
0.0001,30584.969999999998,BUY,1688623024852
0.0001,30637.48,SELL,1688623025226
0.0001,30579.96,BUY,1688623085662
0.0001,30633.6,SELL,1688623086020
0.0001,30589.989999999998,BUY,1688623146192
0.0001,30662.87,SELL,1688623146682
0.0001,30599.989999999998,BUY,1688623207321
0.0001,30620.74,SELL,1688623207672
0.0001,30607.449999999997,BUY,1688623268092
0.0001,30640.42,SELL,1688623268582
0.0001,30613.809999999998,BUY,1688623423593
0.0001,30664.26,SELL,1688623424102
0.0001,30589.699999999997,BUY,1688623502082
0.0001,30636.37,SELL,1688623502592
0.0001,30579.969999999998,BUY,1688623621600
0.0001,30646.66,SELL,1688623621977
0.0001,30582.42,BUY,1688623682671
0.0001,30688.63,SELL,1688623682909
0.0001,30632.245999999996,BUY,1688624381531
0.0001,30683.19,SELL,1688624382123
0.0001,30619.99,BUY,1688624442637
