Quantity,Price,Side
0.00010000,30659.64000000,SELL
0.00010000,30656.71000000,SELL
0.00010000,30648.38000000,SELL
0.00010000,30652.45000000,SELL
0.00010000,30651.18000000,SELL
0.00010000,30667.28000000,SELL
0.00010000,30637.23000000,SELL
0.00010000,30637.05000000,SELL
0.00010000,30646.97000000,SELL
0.00010000,30663.36000000,SELL
0.00010000,30703.48000000,SELL
0.00010000,30633.16000000,SELL
0.00010000,30619.55000000,SELL
0.00010000,30562.45000000,SELL
0.00010000,30640.88000000,SELL
0.00010000,30484.17000000,SELL
0.00010000,30466.10000000,SELL
0.00010000,30431.80000000,SELL
0.00010000,30373.83000000,SELL
0.00010000,30352.85000000,SELL
0.00010000,30382.13000000,SELL
0.00010000,30391.34000000,SELL
0.00010000,30366.58000000,SELL
0.00010000,30371.59000000,SELL
0.00010000,30388.55000000,SELL
0.00010000,30355.34000000,SELL
0.00010000,30355.10000000,SELL
0.00010000,30349.13000000,SELL
0.00010000,30394.58000000,SELL
0.00010000,30270.89000000,SELL
0.00010000,30272.66000000,SELL
0.00010000,30294.17000000,SELL
0.00010000,30180.32000000,SELL
0.00010000,30198.59000000,SELL
0.00010000,29986.35000000,SELL
0.00010000,29723.00000000,BUY
0.00010000,29789.75000000,BUY
