Quantity,Price,Side
0.0001,31031.2,BUY,1688638322104
0.0001,31107.48,SELL,1688638441281
0.0001,31105.11,BUY,1688638441573
0.0001,31105.03,SELL,1688638621025
0.0001,31109.48,BUY,1688638621518
0.0001,31099.999999999996,SELL,1688638741596
0.0001,31103.89,SELL,1688638802735
0.0001,31115.07,SELL,1688638863955
0.0001,31099.999999999996,SELL,1688638924646
0.0001,31068.58,BUY,1688638924884
0.0001,31110.01,SELL,1688639041264
0.0001,31090.55,BUY,1688639041635
0.0001,31110.01,SELL,1688639222473
0.0001,31096.82,BUY,1688639222984
0.0001,31105.079999999998,SELL,1688639342949
0.0001,31113.57,BUY,1688639343577
0.0001,31125.12,SELL,1688639461891
0.0001,31131.24,BUY,1688639462263
0.0001,31115.01,SELL,1688639582046
0.0001,31075.8,BUY,1688639582299
0.0001,31096.819999999996,SELL,1688639702785
0.0001,31056.25,BUY,1688639703297
0.0001,31082.909999999996,SELL,1688639764202
0.0001,31075.2,BUY,1688639764433
0.0001,31090.01,SELL,1688639825032
0.0001,31083.36,BUY,1688639825271
0.0001,31080.009999999995,SELL,1688639885547
0.0001,31003.49,BUY,1688639885898
0.0001,31080.019999999997,SELL,1688640001241
0.0001,31043.02,BUY,1688640001482
0.0001,31105.010000000002,SELL,1688640062195
0.0001,31088.83,BUY,1688640062550
0.0001,31136.739999999998,SELL,1688640123137
0.0001,31138.29,BUY,1688640123624
0.0001,31164.58,SELL,1688640184229
0.0001,31086.45,BUY,1688640184722
0.0001,31175.01,SELL,1688640244998
0.0001,31141.16,BUY,1688640245487
0.0001,31170.0,SELL,1688640305951
0.0001,31053.57,BUY,1688640306179
0.0001,31182.249999999996,SELL,1688640366904
0.0001,31159.66,BUY,1688640367271
0.0001,31179.999999999996,SELL,1688640427923
0.0001,31119.52,BUY,1688640428279
0.0001,31155.689999999995,SELL,1688640489081
0.0001,31101.94,BUY,1688640489320
0.0001,31140.01,SELL,1688640549663
0.0001,31091.8,BUY,1688640550165
0.0001,31154.999999999996,SELL,1688640610519
0.0001,31073.3,BUY,1688640610745
0.0001,31160.0,SELL,1688640671297
0.0001,31113.4,BUY,1688640671664
0.0001,31179.999999999996,SELL,1688640741963
0.0001,31175.19,BUY,1688640742331
0.0001,31179.999999999996,SELL,1688640802374
0.0001,31148.99,BUY,1688640802733
0.0001,31176.159999999996,SELL,1688640863123
0.0001,31135.02,BUY,1688640863378
0.0001,31221.429999999997,SELL,1688640923571
0.0001,31138.64,BUY,1688640923944
0.0001,31244.999999999996,SELL,1688641020982
0.0001,31159.7,BUY,1688641021481
0.0001,31230.0,SELL,1688641141161
0.0001,31206.29,BUY,1688641141536
0.0001,31245.01,SELL,1688641268941
0.0001,31253.74,BUY,1688641269445
0.0001,31205.01,SELL,1688641330129
0.0001,31166.37,BUY,1688641330505
0.0001,31209.989999999998,SELL,1688641391102
0.0001,31192.08,BUY,1688641391480
0.0001,31201.409999999996,SELL,1688641501935
0.0001,31193.83,BUY,1688641502315
0.0001,31190.509999999995,SELL,1688641562997
0.0001,31144.76,BUY,1688641563488
0.0001,31183.77,SELL,1688641623823
0.0001,31121.46,BUY,1688641624183
0.0001,31180.649999999998,SELL,1688641685035
0.0001,31113.77,BUY,1688641685419
0.0001,31180.649999999998,SELL,1688641922488
0.0001,31100.14,BUY,1688641923044
0.0001,31185.0,SELL,1688642281691
0.0001,31047.97,BUY,1688642281994
0.0001,31177.66,SELL,1688642461060
0.0001,31131.05,BUY,1688642461574
0.0001,31177.649999999998,SELL,1688642522156
0.0001,31144.26,BUY,1688642522406
0.0001,31167.78,SELL,1688642701704
0.0001,31118.22,BUY,1688642702083
0.0001,31172.62,SELL,1688642821516
0.0001,31120.03,BUY,1688642821873
0.0001,31172.19,SELL,1688642882299
0.0001,31168.26,BUY,1688642882663
0.0001,31180.03,SELL,1688642943229
0.0001,31155.54,BUY,1688642943582
0.0001,31180.03,SELL,1688643004035
0.0001,31100.22,BUY,1688643004522
0.0001,31175.01,SELL,1688643065178
0.0001,31139.43,BUY,1688643065562
0.0001,31175.01,SELL,1688643126007
0.0001,31104.5,BUY,1688643126385
0.0001,31170.01,SELL,1688643187063
0.0001,31163.75,BUY,1688643187298
0.0001,31167.760000000002,SELL,1688643247934
0.0001,31123.7,BUY,1688643248182
0.0001,31160.009999999995,SELL,1688643308635
0.0001,31139.65,BUY,1688643308862
0.0001,31165.029999999995,SELL,1688643418584
0.0001,31165.39,BUY,1688643418839
0.0001,31166.39,SELL,1688643479147
0.0001,31130.65,BUY,1688643479397
0.0001,31165.01,SELL,1688643539992
0.0001,31105.76,BUY,1688643540223
0.0001,31165.01,SELL,1688643600785
0.0001,31116.97,BUY,1688643601148
0.0001,31165.01,SELL,1688643722071
0.0001,31126.97,BUY,1688643722441
0.0001,31101.309999999998,SELL,1688643782500
0.0001,31094.17,BUY,1688643782876
0.0001,31077.67,SELL,1688644142965
0.0001,31055.35,BUY,1688644143475
0.0001,31060.01,SELL,1688644204008
0.0001,31074.0,BUY,1688644204382
0.0001,31055.052999999996,SELL,1688644322414
0.0001,30990.77,BUY,1688644322644
0.0001,30895.01,SELL,1688644562118
0.0001,30835.58,BUY,1688644562500
0.0001,30739.66,SELL,1688644682369
0.0001,30689.32,BUY,1688644683262
0.0001,30869.559999999998,SELL,1688644888849
0.0001,30869.0,BUY,1688644889516
0.0001,30765.02,SELL,1688644982270
0.0001,30762.26,BUY,1688644982642
0.0001,30743.98,SELL,1688645043152
0.0001,30729.76,BUY,1688645043382
0.0001,30700.02,SELL,1688645761616
0.0001,30695.57,BUY,1688645762072
0.0001,30675.19,SELL,1688645822880
0.0001,30619.76,BUY,1688645823402
0.0001,30686.23,SELL,1688645884026
0.0001,30618.8,BUY,1688645884406
0.0001,30730.01,SELL,1688645945216
0.0001,30703.55,BUY,1688645945468
0.0001,30735.01,SELL,1688646006152
0.0001,30714.7,BUY,1688646006382
0.0001,30715.01,SELL,1688646181347
