Quantity,Price,Side
0.00010000,30659.64000000,SELL
0.00010000,30656.71000000,SELL
0.00010000,30648.38000000,SELL
0.00010000,30652.45000000,SELL
0.00010000,30651.18000000,SELL
0.00010000,30667.28000000,SELL
0.00010000,30637.23000000,SELL
0.00010000,30637.05000000,SELL
0.00010000,30646.97000000,SELL
0.00010000,30663.36000000,SELL
0.00010000,30703.48000000,SELL
0.00010000,30633.16000000,SELL
0.00010000,30619.55000000,SELL
0.00010000,30562.45000000,SELL
0.00010000,30640.88000000,SELL
0.00010000,30484.17000000,SELL
0.00010000,30466.10000000,SELL
0.00010000,30431.80000000,SELL
0.00010000,30373.83000000,SELL
0.00010000,30352.85000000,SELL
0.00010000,30382.13000000,SELL
0.00010000,30391.34000000,SELL
0.00010000,30366.58000000,SELL
0.00010000,30371.59000000,SELL
0.00010000,30388.55000000,SELL
0.00010000,30355.34000000,SELL
0.00010000,30355.10000000,SELL
0.00010000,30349.13000000,SELL
0.00010000,30394.58000000,SELL
0.00010000,30294.17000000,SELL
0.00010000,29723.00000000,BUY
0.00010000,29792.81000000,BUY
0.00010000,29816.16000000,BUY
0.00010000,29781.75000000,BUY
0.00031000,29795.88000000,BUY
0.00030000,29812.45000000,BUY
0.00030000,29876.18000000,BUY
0.00030000,29971.55000000,BUY
0.00028000,29956.38000000,BUY
0.00027000,29969.61000000,BUY
0.00026000,29962.79000000,BUY
0.00026000,29969.33000000,BUY
0.00026000,29962.58000000,BUY
0.00028000,29986.34000000,BUY
0.00028000,29980.97000000,BUY
0.00028000,30060.56000000,BUY
0.00027000,30018.25000000,BUY
0.00026000,30045.72000000,BUY
0.00026000,30023.62000000,BUY
0.00025000,30061.24000000,BUY
0.00025000,30064.32000000,BUY
0.00025000,30035.23000000,BUY
0.00024000,30063.22000000,BUY
0.00024000,30050.03000000,BUY
0.00024000,30026.22000000,BUY
0.00024000,30041.79000000,BUY
0.00024000,30024.60000000,BUY
0.00023000,30032.24000000,BUY
0.00023000,30048.62000000,BUY
0.00023000,30039.75000000,BUY
0.00022000,30063.80000000,BUY
0.00022000,30060.34000000,BUY
0.00021000,30041.90000000,BUY
0.00021000,30052.34000000,BUY
0.00021000,30055.70000000,BUY
0.00020000,30059.15000000,BUY
0.00020000,30017.52000000,BUY
0.00019000,30000.72000000,BUY
0.00019000,30039.29000000,BUY
0.00017000,30063.64000000,BUY
0.00015000,30039.97000000,BUY
0.00014000,30062.14000000,BUY
0.00015000,30065.29000000,BUY
0.00015000,30059.82000000,BUY
0.00014000,30053.11000000,BUY
0.00014000,30054.43000000,BUY
0.00014000,30054.34000000,BUY
0.00013000,30044.82000000,BUY
0.00013000,30047.11000000,BUY
0.00010000,30245.12000000,SELL
0.00012000,30251.27000000,SELL
0.00012000,30280.62000000,SELL
0.00011000,30264.72000000,SELL
0.00010000,30262.86000000,SELL
0.00010000,30252.22000000,SELL
0.00010000,30251.11000000,SELL
0.00010000,30246.26000000,SELL
0.00010000,30234.58000000,SELL
0.00010000,30263.72000000,SELL
0.00010000,30245.01000000,SELL
0.00010000,30292.73000000,SELL
0.00010000,30246.80000000,SELL
0.00010000,30237.88000000,SELL
0.00010000,30255.17000000,SELL
0.00010000,30269.55000000,SELL
0.00010000,30310.63000000,SELL
0.00010000,30187.35000000,SELL
0.00010000,30171.85000000,SELL
0.00010000,30170.13000000,SELL
0.00010000,30205.92000000,SELL
0.00010000,30164.75000000,SELL
0.00010000,30227.54000000,SELL
0.00010000,30183.69000000,SELL
0.00059000,30084.38000000,BUY
0.00058000,30080.40000000,BUY
