Quantity,Price,Side
0.0001,30384.159999999996,SELL,1688660388063
0.0001,30395.82,BUY,1688660388437
0.0001,30360.757999999998,SELL,1688660449346
0.0001,30298.89,BUY,1688660449584
0.0001,30358.679999999997,SELL,1688660510268
0.0001,30197.19,BUY,1688660510657
0.0001,30316.749999999996,BUY,1688660571598
0.0001,30371.87,SELL,1688660571964
0.0001,30349.989999999998,BUY,1688660632119
0.0001,30358.5,SELL,1688660632612
0.0001,30352.16,SELL,1688660693105
0.0001,30262.67,BUY,1688660693471
0.0001,30345.01,SELL,1688660754087
0.0001,30320.38,BUY,1688660754461
0.0001,30349.989999999998,BUY,1688660815289
0.0001,30349.989999999998,BUY,1688660876169
0.0001,30340.06,SELL,1688660942580
0.0001,30316.94,BUY,1688660942942
0.0001,30267.71,SELL,1688661661021
0.0001,30144.51,BUY,1688661661324
0.0001,30260.039999999997,SELL,1688661841323
0.0001,30213.92,BUY,1688661841696
0.0001,30183.23,SELL,1688662081594
0.0001,30176.76,BUY,1688662081967
0.0001,30195.01,SELL,1688662149920
0.0001,30189.96,BUY,1688662150284
0.0001,30190.12,SELL,1688662211026
0.0001,30073.87,BUY,1688662211539
0.0001,30240.049999999996,SELL,1688662321111
0.0001,30186.9,BUY,1688662321494
0.0001,30270.01,SELL,1688662562690
0.0001,30239.03,BUY,1688662563072
0.0001,30310.01,SELL,1688662680087
0.0001,30275.66,BUY,1688662680333
0.0001,30311.1,SELL,1688662742602
0.0001,30317.06,BUY,1688662742834
0.0001,30316.629999999997,SELL,1688662803436
0.0001,30271.45,BUY,1688662803816
0.0001,30320.019999999997,SELL,1688662921839
0.0001,30304.74,BUY,1688662922242
0.0001,30331.0,SELL,1688663101141
0.0001,30337.94,BUY,1688663101523
0.0001,30340.039999999997,SELL,1688663228203
0.0001,30351.95,BUY,1688663228721
0.0001,30331.0,SELL,1688663341641
0.0001,30273.5,BUY,1688663342157
0.0001,30303.909999999996,SELL,1688663402512
0.0001,30312.87,BUY,1688663402888
0.0001,30274.32,SELL,1688663463416
0.0001,30178.93,BUY,1688663463936
0.0001,30265.019999999997,SELL,1688663524306
0.0001,30243.51,BUY,1688663524571
0.0001,30259.999999999996,SELL,1688663585048
0.0001,30143.82,BUY,1688663585423
0.0001,30259.149999999998,SELL,1688663645712
0.0001,30224.89,BUY,1688663645945
0.0001,30262.66,SELL,1688663706462
0.0001,30125.16,BUY,1688663706830
0.0001,30270.0,SELL,1688663767198
0.0001,30246.38,BUY,1688663767449
0.0001,30260.01,SELL,1688663827917
0.0001,30196.91,BUY,1688663828416
0.0001,30255.219999999998,SELL,1688663888915
0.0001,30213.78,BUY,1688663889302
0.0001,30255.12,SELL,1688663949655
0.0001,30199.09,BUY,1688663949892
0.0001,30260.030000000002,SELL,1688664010343
0.0001,30252.44,BUY,1688664010705
0.0001,30260.039999999997,SELL,1688664070898
0.0001,30165.57,BUY,1688664071269
0.0001,30265.659999999996,SELL,1688664182387
0.0001,30178.01,BUY,1688664182999
0.0001,30255.010000000002,SELL,1688664302325
0.0001,30225.46,BUY,1688664302693
0.0001,30250.62,SELL,1688664421248
0.0001,30254.47,BUY,1688664421764
0.0001,30240.209999999995,SELL,1688664542442
0.0001,30241.64,BUY,1688664542821
0.0001,30235.05,SELL,1688664603612
0.0001,30231.62,BUY,1688664603978
0.0001,30235.01,SELL,1688664664450
0.0001,30176.68,BUY,1688664664952
0.0001,30220.5,SELL,1688664725385
0.0001,30182.38,BUY,1688664725761
0.0001,30241.069999999996,SELL,1688664902090
0.0001,30238.17,BUY,1688664902602
0.0001,30280.0,SELL,1688665021685
0.0001,30270.019999999997,SELL,1688665201209
0.0001,30232.81,BUY,1688665201723
0.0001,30260.01,SELL,1688665262187
0.0001,30238.4,BUY,1688665262720
0.0001,30260.01,SELL,1688665323616
0.0001,30257.61,BUY,1688665323863
0.0001,30250.01,SELL,1688665384264
0.0001,30225.31,BUY,1688665384515
0.0001,30259.969999999998,BUY,1688665445095
0.0001,30250.27,SELL,1688665445476
0.0001,30250.039999999997,SELL,1688665506013
0.0001,30248.43,BUY,1688665506266
0.0001,30249.929999999997,BUY,1688665566468
0.0001,30314.08,SELL,1688665566844
0.0001,30250.01,SELL,1688665733989
0.0001,30254.75,BUY,1688665734232
0.0001,30275.059999999998,SELL,1688665794769
0.0001,30223.78,BUY,1688665795158
0.0001,30250.01,SELL,1688665981632
0.0001,30243.6,BUY,1688665982017
0.0001,30260.01,SELL,1688666042551
0.0001,30231.17,BUY,1688666042798
0.0001,30265.01,SELL,1688666103030
0.0001,30225.06,BUY,1688666103283
0.0001,30260.01,SELL,1688666163745
0.0001,30243.14,BUY,1688666164122
0.0001,30260.01,SELL,1688666224738
0.0001,30218.95,BUY,1688666225251
0.0001,30260.01,SELL,1688666285823
0.0001,30207.09,BUY,1688666286333
0.0001,30318.0,BUY,1688666486942
0.0001,30358.18,SELL,1688666487345
0.0001,30325.099999999995,SELL,1688667001888
0.0001,30290.91,BUY,1688667002324
0.0001,30320.0,SELL,1688667063013
0.0001,30269.54,BUY,1688667063521
0.0001,30320.0,SELL,1688667361286
0.0001,30290.68,BUY,1688667361661
0.0001,30320.0,SELL,1688667421917
0.0001,30214.39,BUY,1688667422429
0.0001,30320.0,SELL,1688667541593
0.0001,30311.789999999997,SELL,1688667602689
0.0001,30288.74,BUY,1688667603192
0.0001,30280.0,SELL,1688667663815
0.0001,30245.03,BUY,1688667664191
0.0001,30260.02,SELL,1688667725003
0.0001,30173.93,BUY,1688667725259
0.0001,30265.01,SELL,1688667785627
0.0001,30188.13,BUY,1688667785999
0.0001,30285.0,BUY,1688667846421
0.0001,30356.47,SELL,1688667846787
0.0001,30270.01,SELL,1688668022604
0.0001,30275.01,SELL,1688668201224
0.0001,30253.45,BUY,1688668201476
0.0001,30275.280000000002,SELL,1688668262190
0.0001,30222.22,BUY,1688668262437
0.0001,30288.55,SELL,1688668323167
0.0001,30164.87,BUY,1688668323550
0.0001,30295.010000000002,SELL,1688668384114
0.0001,30272.97,BUY,1688668384504
0.0001,30280.049999999996,SELL,1688668488662
0.0001,30289.24,BUY,1688668489494
0.0001,30270.01,SELL,1688668562696
0.0001,30287.2,BUY,1688668562947
0.0001,30261.14,SELL,1688668802410
0.0001,30273.43,BUY,1688668802796
0.0001,30253.459999999995,SELL,1688668863211
0.0001,30231.5,BUY,1688668863579
0.0001,30254.87,BUY,1688668924297
0.0001,30340.37,SELL,1688668924529
0.0001,30215.399999999998,SELL,1688669041374
0.0001,30106.36,BUY,1688669041775
0.0001,30239.71,SELL,1688669222052
0.0001,30202.36,BUY,1688669222460
0.0001,30238.949999999997,SELL,1688669282999
0.0001,30235.79,BUY,1688669283256
0.0001,30238.96,SELL,1688669485276
0.0001,30241.84,SELL,1688669546504
0.0001,30246.79,BUY,1688669547009
0.0001,30240.854,SELL,1688669641865
0.0001,30202.51,BUY,1688669642235
0.0001,30240.429999999997,SELL,1688669702908
0.0001,30248.07,BUY,1688669703303
0.0001,30258.01,SELL,1688669764064
0.0001,30203.2,BUY,1688669764435
0.0001,30279.92,BUY,1688669825069
0.0001,30293.17,SELL,1688669825576
0.0001,30329.999999999996,SELL,1688669885916
0.0001,30325.03,SELL,1688670546015
0.0001,30334.91,BUY,1688670546455
0.0001,30340.01,SELL,1688670606818
0.0001,30316.15,BUY,1688670607204
0.0001,30332.15,BUY,1688670667786
0.0001,30329.999999999996,BUY,1688670728687
0.0001,30342.64,SELL,1688670729060
0.0001,30286.87,SELL,1688670789696
0.0001,30274.84,BUY,1688670790208
0.0001,30289.969999999998,BUY,1688670850761
0.0001,30325.72,SELL,1688670851157
0.0001,30280.01,SELL,1688670911648
0.0001,30270.09,BUY,1688670912024
0.0001,30299.969999999998,BUY,1688670972693
0.0001,30312.29,SELL,1688670973199
0.0001,30305.03,SELL,1688671033690
0.0001,30300.13,BUY,1688671034076
0.0001,30309.81,BUY,1688671094855
0.0001,30307.66,SELL,1688671095378
0.0001,30320.0,BUY,1688671156015
0.0001,30327.28,SELL,1688671156525
0.0001,30309.81,SELL,1688671217034
0.0001,30295.03,SELL,1688671277807
0.0001,30282.049999999996,SELL,1688671338634
0.0001,30291.84,BUY,1688671339007
0.0001,30304.989999999998,BUY,1688671399342
0.0001,30297.24,SELL,1688671399849
0.0001,30299.999999999996,BUY,1688671460677
0.0001,30308.65,SELL,1688671461067
0.0001,30295.03,SELL,1688671521587
0.0001,30251.78,BUY,1688671521835
0.0001,30315.029999999995,SELL,1688671582479
0.0001,30272.63,BUY,1688671582864
0.0001,30314.969999999998,BUY,1688671643074
0.0001,30320.55,SELL,1688671643444
0.0001,30299.779999999995,BUY,1688671704103
0.0001,30304.989999999998,BUY,1688671764979
0.0001,30320.97,SELL,1688671765226
0.0001,30295.010000000002,SELL,1688671825787
0.0001,30284.95,BUY,1688671826298
0.0001,30305.03,SELL,1688671886819
0.0001,30238.5,BUY,1688671887197
0.0001,30294.989999999998,BUY,1688671947769
0.0001,30321.41,SELL,1688671948150
0.0001,30274.99,BUY,1688672008663
0.0001,30292.29,SELL,1688672009048
0.0001,30263.239999999998,SELL,1688672069410
0.0001,30279.969999999998,BUY,1688672130441
0.0001,30303.61,SELL,1688672130829
0.0001,30275.029999999995,SELL,1688672191564
0.0001,30246.32,BUY,1688672191802
0.0001,30270.019999999997,SELL,1688672402480
0.0001,30222.11,BUY,1688672402720
0.0001,30270.019999999997,SELL,1688672463074
0.0001,30252.59,BUY,1688672463320
0.0001,30270.0,SELL,1688672581555
0.0001,30251.32,BUY,1688672581938
0.0001,30294.52,BUY,1688672676636
0.0001,30309.86,SELL,1688672677023
0.0001,30290.01,SELL,1688672761141
0.0001,30262.72,BUY,1688672761396
0.0001,30300.01,SELL,1688672822675
0.0001,30273.2,BUY,1688672823059
0.0001,30300.029999999995,SELL,1688672883426
0.0001,30297.7,BUY,1688672883675
0.0001,30299.989999999998,BUY,1688672944401
0.0001,30309.989999999998,BUY,1688673014261
0.0001,30339.999999999996,BUY,1688673075221
0.0001,30324.97,BUY,1688673135982
0.0001,30299.03,SELL,1688673196926
0.0001,30195.51,BUY,1688673197171
0.0001,30280.76,SELL,1688673257735
0.0001,30275.24,BUY,1688673258114
0.0001,30280.03,SELL,1688673318398
0.0001,30232.84,BUY,1688673318906
0.0001,30294.989999999998,BUY,1688673379751
0.0001,30325.8,SELL,1688673380140
0.0001,30280.01,SELL,1688673481728
0.0001,30226.25,BUY,1688673482239
0.0001,30292.769999999997,SELL,1688673543083
0.0001,30234.71,BUY,1688673543670
0.0001,30300.01,SELL,1688673661925
0.0001,30255.6,BUY,1688673662441
0.0001,30329.989999999998,BUY,1688673723034
0.0001,30323.99,SELL,1688673723556
0.0001,30341.999999999996,BUY,1688673783821
0.0001,30350.0,BUY,1688673844905
0.0001,30305.0,SELL,1688673962137
0.0001,30280.52,BUY,1688673962523
0.0001,30271.97,SELL,1688674200974
0.0001,30280.52,BUY,1688674201346
0.0001,30268.01,SELL,1688674382554
0.0001,30234.1,BUY,1688674382805
0.0001,30274.999999999996,SELL,1688674501802
0.0001,30290.01,SELL,1688674622161
0.0001,30290.87,BUY,1688674622414
0.0001,30300.01,SELL,1688674683004
0.0001,30307.88,BUY,1688674683378
0.0001,30306.02,SELL,1688674743724
0.0001,30310.01,SELL,1688674804723
0.0001,30309.53,BUY,1688674805098
0.0001,30305.01,SELL,1688674981828
0.0001,30294.09,BUY,1688674982200
0.0001,30295.03,SELL,1688675042606
0.0001,30276.6,BUY,1688675042850
0.0001,30286.26,SELL,1688675103488
0.0001,30280.76,SELL,1688675164349
0.0001,30251.48,BUY,1688675164729
0.0001,30299.989999999998,BUY,1688675225226
0.0001,30280.01,SELL,1688675285935
0.0001,30286.52,BUY,1688675286308
0.0001,30290.01,SELL,1688675402000
0.0001,30276.55,BUY,1688675402375
0.0001,30270.01,SELL,1688675521759
0.0001,30241.36,BUY,1688675522132
0.0001,30279.989999999998,BUY,1688675582633
0.0001,30279.53,SELL,1688675583010
0.0001,30289.99,BUY,1688675643513
0.0001,30280.03,SELL,1688675704272
0.0001,30280.76,BUY,1688675704639
0.0001,30258.55,SELL,1688675822050
0.0001,30269.04,BUY,1688675822422
0.0001,30260.02,SELL,1688675882792
0.0001,30279.989999999998,BUY,1688675943795
0.0001,30339.81,SELL,1688675944179
0.0001,30270.03,SELL,1688676004817
0.0001,30215.75,BUY,1688676005191
0.0001,30252.649999999998,SELL,1688676121336
0.0001,30236.75,BUY,1688676121700
0.0001,30255.03,SELL,1688676182359
0.0001,30205.98,BUY,1688676182732
0.0001,30257.94,SELL,1688676242931
0.0001,30140.97,BUY,1688676243304
0.0001,30264.959999999995,BUY,1688676303751
0.0001,30252.84,SELL,1688676304149
0.0001,30250.11,SELL,1688676364377
0.0001,30221.7,BUY,1688676364641
0.0001,30260.82,SELL,1688676424796
0.0001,30220.97,BUY,1688676425160
0.0001,30261.67,SELL,1688676485519
0.0001,30247.06,BUY,1688676485771
0.0001,30265.01,SELL,1688676546293
0.0001,30243.78,BUY,1688676546536
0.0001,30265.17,SELL,1688676606719
0.0001,30274.54,BUY,1688676606950
0.0001,30279.969999999998,BUY,1688676667077
0.0001,30282.51,SELL,1688676667321
0.0001,30265.629999999997,SELL,1688676840913
0.0001,30261.11,BUY,1688676841163
0.0001,30295.21,SELL,1688676901697
0.0001,30234.26,BUY,1688676901943
0.0001,30295.21,SELL,1688676962283
0.0001,30294.7,BUY,1688676962528
0.0001,30300.01,SELL,1688677023071
0.0001,30289.59,BUY,1688677023312
0.0001,30309.91,BUY,1688677084220
0.0001,30318.35,SELL,1688677084590
0.0001,30295.024999999998,SELL,1688677145132
0.0001,30308.6,BUY,1688677145496
0.0001,30305.049999999996,SELL,1688677205971
0.0001,30300.8,BUY,1688677206209
0.0001,30315.21,SELL,1688677266638
0.0001,30297.47,BUY,1688677266883
0.0001,30279.98,BUY,1688677327512
0.0001,30308.73,SELL,1688677328027
0.0001,30265.059999999998,SELL,1688677388206
0.0001,30271.56,BUY,1688677388446
0.0001,30269.689999999995,SELL,1688677449198
0.0001,30205.18,BUY,1688677449705
0.0001,30281.84,SELL,1688677521585
