Quantity,Price,Side
0.0001,30305.0,SELL,1688678042212
0.0001,30268.38,BUY,1688678042726
0.0001,30300.929999999997,SELL,1688678103204
0.0001,30270.78,BUY,1688678103450
0.0001,30275.219999999998,SELL,1688678284499
0.0001,30282.6,BUY,1688678285005
0.0001,30184.009,SELL,1688678641678
0.0001,30187.66,BUY,1688678641993
0.0001,30187.85,SELL,1688678762321
0.0001,30191.11,BUY,1688678762837
0.0001,30235.02,SELL,1688678942092
0.0001,30245.01,SELL,1688679002925
0.0001,30246.87,BUY,1688679003621
0.0001,30245.0,SELL,1688679064129
0.0001,30190.3,BUY,1688679064513
0.0001,30253.57,SELL,1688679125453
0.0001,30207.84,BUY,1688679125696
0.0001,30245.01,SELL,1688679186242
0.0001,30167.11,BUY,1688679186631
0.0001,30245.099999999995,SELL,1688679247061
0.0001,30226.11,BUY,1688679247303
0.0001,30225.26,SELL,1688679422147
0.0001,30207.51,BUY,1688679422511
0.0001,30235.029999999995,SELL,1688679483105
0.0001,30233.74,BUY,1688679483479
0.0001,30240.53,SELL,1688679543728
0.0001,30196.3,BUY,1688679543971
0.0001,30245.01,SELL,1688679604571
0.0001,30204.21,BUY,1688679604801
0.0001,30240.01,SELL,1688679665311
0.0001,30228.53,BUY,1688679665553
0.0001,30190.019999999997,SELL,1688679902482
0.0001,30173.42,BUY,1688679902873
0.0001,30190.12,SELL,1688679963309
0.0001,30155.85,BUY,1688679963552
0.0001,30190.78,SELL,1688680024496
0.0001,30167.05,BUY,1688680024864
0.0001,30195.029999999995,SELL,1688680085345
0.0001,30107.92,BUY,1688680085745
0.0001,30195.01,SELL,1688680146039
0.0001,30167.51,BUY,1688680146399
0.0001,30200.76,SELL,1688680262515
0.0001,30188.82,BUY,1688680262738
0.0001,30210.24,SELL,1688680323293
0.0001,30126.7,BUY,1688680323529
0.0001,30215.03,SELL,1688680383941
0.0001,30215.03,SELL,1688680561626
0.0001,30220.01,SELL,1688680622920
0.0001,30161.57,BUY,1688680623161
0.0001,30220.01,SELL,1688680741330
0.0001,30222.53,SELL,1688680801991
0.0001,30195.89,BUY,1688680802224
0.0001,30210.01,SELL,1688680862354
0.0001,30198.62,BUY,1688680862718
0.0001,30200.04,SELL,1688680923071
0.0001,30189.8,BUY,1688680923435
0.0001,30184.14,SELL,1688680984105
0.0001,30137.15,BUY,1688680984620
0.0001,30175.049999999996,SELL,1688681045291
0.0001,30146.5,BUY,1688681045673
0.0001,30175.03,SELL,1688681106550
0.0001,30162.21,BUY,1688681107072
0.0001,30205.0,SELL,1688681167348
0.0001,30186.6,BUY,1688681167730
0.0001,30218.759999999995,SELL,1688681227945
0.0001,30218.06,BUY,1688681228320
0.0001,30224.989999999998,BUY,1688681288614
0.0001,30252.62,SELL,1688681289010
0.0001,30229.989999999998,BUY,1688681349345
0.0001,30265.08,SELL,1688681349728
0.0001,30229.989999999998,BUY,1688681410285
0.0001,30253.05,SELL,1688681410673
0.0001,30214.87,SELL,1688681583606
0.0001,30222.19,BUY,1688681583978
0.0001,30214.87,SELL,1688681644178
0.0001,30212.79,BUY,1688681644539
