Quantity,Price,Side
0.00014,30299.97,BUY,1688740231382
0.00014,30405.55,SELL,1688740231736
0.00014,30299.720000000005,BUY,1688740292108
0.00014,30298.44,SELL,1688740292469
0.0001,30305.04,SELL,1688740353156
0.0001,30281.26,BUY,1688740353525
0.00014,30329.140000000003,BUY,1688740413901
0.00014,30312.94,SELL,1688740414279
0.00014,30301.52,BUY,1688740474813
0.00014,30335.07,SELL,1688740475185
0.0001,30280.0,SELL,1688740535825
0.0001,30279.54,BUY,1688740536332
0.0001,30285.01,SELL,1688740596784
0.0001,30256.38,BUY,1688740597174
0.00014,30299.760000000002,BUY,1688740657685
0.00014,30365.97,SELL,1688740657934
0.0001,30315.21,SELL,1688740718223
0.0001,30257.15,BUY,1688740718788
0.00014,30329.99,BUY,1688740779167
0.00014,30356.99,SELL,1688740779541
0.0001,30329.999999999996,SELL,1688740840215
0.0001,30259.86,BUY,1688740840471
0.00014,30334.190000000002,BUY,1688740900675
0.00014,30336.07,SELL,1688740901037
0.0001,30345.01,SELL,1688740961427
0.0001,30279.84,BUY,1688740961678
0.0001,30365.959999999995,SELL,1688741022108
0.0001,30320.51,BUY,1688741022540
0.0001,30335.44,SELL,1688741083073
0.0001,30239.24,BUY,1688741083316
0.0001,30344.989999999998,SELL,1688741143703
0.0001,30318.49,BUY,1688741143950
0.0001,30365.03,SELL,1688741204364
0.0001,30292.57,BUY,1688741204742
0.0001,30355.01,SELL,1688741265018
0.00014,30367.48785714286,BUY,1688741325582
0.00014,30371.7,SELL,1688741325934
0.0001,30350.519999999997,SELL,1688741386234
0.0001,30341.18,BUY,1688741386614
0.0001,30350.519999999997,SELL,1688741447294
0.0001,30299.62,BUY,1688741447674
0.00014,30367.49,BUY,1688741508187
0.00014,30390.05,SELL,1688741508563
0.0001,30360.010000000002,SELL,1688741569002
0.0001,30311.92,BUY,1688741569386
0.0001,30360.010000000002,SELL,1688741629764
0.0001,30313.39,BUY,1688741630140
0.0001,30360.010000000002,SELL,1688741690919
0.0001,30278.09,BUY,1688741691163
0.0001,30365.03,SELL,1688741751645
0.0001,30305.28,BUY,1688741752030
0.0001,30365.02,SELL,1688741812674
0.0001,30275.82,BUY,1688741813049
0.0001,30356.059999999998,SELL,1688741873558
0.0001,30315.24,BUY,1688741873808
0.0001,30370.11,SELL,1688741934327
0.0001,30317.06,BUY,1688741934576
0.0001,30375.009999999995,SELL,1688741995168
0.0001,30254.61,BUY,1688741995546
0.0001,30370.01,SELL,1688742056238
0.0001,30249.88,BUY,1688742056623
0.0001,30370.6,SELL,1688742117110
0.0001,30292.86,BUY,1688742117495
0.0001,30369.999999999996,SELL,1688742177816
0.0001,30247.64,BUY,1688742178200
0.0001,30379.87,SELL,1688742238951
0.0001,30307.07,BUY,1688742239462
0.0001,30369.999999999996,SELL,1688742299908
0.0001,30315.16,BUY,1688742300283
0.0001,30380.01,SELL,1688742360551
0.0001,30322.27,BUY,1688742360935
0.0001,30379.999999999996,SELL,1688742421478
0.0001,30269.56,BUY,1688742421851
0.0001,30360.010000000002,SELL,1688742482380
0.0001,30268.74,BUY,1688742482762
0.0001,30365.0,SELL,1688742543454
0.0001,30334.61,BUY,1688742543969
0.00016,30359.96,BUY,1688742604369
0.00016,30420.09,SELL,1688742604743
0.0001,30345.01,SELL,1688742665334
0.0001,30296.51,BUY,1688742665716
0.00016,30347.479999999996,BUY,1688742725931
0.00016,30349.38,SELL,1688742726299
0.0001,30345.0,SELL,1688742786939
0.0001,30342.7,BUY,1688742787182
0.00016,30344.989999999998,BUY,1688742847508
0.00016,30365.67,SELL,1688742847761
0.00015,30344.990000000005,BUY,1688742908448
0.00015,30388.67,SELL,1688742908823
