Quantity,Price,Side,Time
0.0001,30250.03,SELL,1688763358340
0.0001,30241.78,BUY,1688763358704
0.0001,30260.59,SELL,1688763419034
0.0001,30200.73,BUY,1688763419380
0.0001,30269.989999999998,BUY,1688763479741
0.0001,30271.23,SELL,1688763480108
0.0001,30260.01,SELL,1688763540289
0.0001,30251.27,BUY,1688763540640
0.0001,30265.01,SELL,1688763601057
0.0001,30246.9,BUY,1688763601428
0.0001,30279.989999999998,BUY,1688763662037
0.0001,30270.05,SELL,1688763722900
0.0001,30226.99,BUY,1688763723395
0.0001,30289.99,BUY,1688763783825
0.0001,30359.12,SELL,1688763784184
0.0001,30289.999999999996,BUY,1688763844681
0.0001,30328.83,SELL,1688763845051
0.0001,30299.989999999998,BUY,1688763905482
0.0001,30322.66,SELL,1688763905723
0.0001,30285.01,SELL,1688763966219
0.0001,30268.83,BUY,1688763966719
0.0001,30299.989999999998,BUY,1688764027231
0.0001,30301.64,SELL,1688764027606
0.0001,30295.879999999997,BUY,1688764088077
0.0001,30312.09,SELL,1688764088566
0.0001,30295.869999999995,BUY,1688764149746
0.0001,30352.29,SELL,1688764150137
0.0001,30295.879999999997,BUY,1688764210530
0.0001,30330.33,SELL,1688764210778
0.00011,30324.899999999998,BUY,1688764271773
0.00011,30326.62,SELL,1688764272364
0.00011,30328.16,BUY,1688764333185
0.00011,30349.55,SELL,1688764333766
0.00011,30324.989999999998,BUY,1688764394646
0.00011,30352.26,SELL,1688764395030
0.0001,30315.01,SELL,1688764455333
0.0001,30308.02,BUY,1688764455833
0.0001,30329.98,SELL,1688764516395
0.0001,30292.7,BUY,1688764516781
0.0001,30320.04,SELL,1688764577202
0.0001,30321.15,BUY,1688764577570
0.00011,30324.989999999998,BUY,1688764638116
0.00011,30365.79,SELL,1688764638359
0.0001,30320.049999999996,SELL,1688764698571
0.0001,30311.09,BUY,1688764698936
0.00011,30333.54,BUY,1688764759659
0.00011,30333.08454545454,BUY,1688764820738
0.00011,30394.31,SELL,1688764821218
0.00011,30333.86,BUY,1688764881961
0.00011,30361.45,SELL,1688764882338
0.0001,30330.03,SELL,1688764942656
0.0001,30336.17,BUY,1688764943161
0.00011,30349.999999999996,BUY,1688765003751
0.00011,30335.0,BUY,1688765064811
0.00011,30341.66,SELL,1688765065046
0.0001,30325.03,SELL,1688765125806
0.0001,30322.69,BUY,1688765126302
0.0001,30340.01,SELL,1688765186897
0.0001,30351.0,BUY,1688765187269
0.00012,30367.49,BUY,1688765247598
0.00012,30381.33,SELL,1688765247978
0.00013,30374.99,BUY,1688765308637
0.00013,30391.66,SELL,1688765309009
0.0001,30365.02,SELL,1688765369663
0.0001,30299.27,BUY,1688765369891
0.0001,30369.999999999996,SELL,1688765430248
0.0001,30326.49,BUY,1688765430608
0.0001,30370.01,SELL,1688765491234
0.0001,30382.7,BUY,1688765491598
0.00014,30354.990000000005,BUY,1688765552056
0.00014,30339.642857142862,BUY,1688765613039
0.00014,30382.19,SELL,1688765613420
0.00013,30340.000000000004,BUY,1688765673888
0.00013,30385.82,SELL,1688765674260
0.00013,30319.990000000005,BUY,1688765734925
0.00013,30330.0,BUY,1688765795690
0.00013,30344.21,SELL,1688765796061
0.00013,30340.000000000004,BUY,1688765856691
0.00013,30371.18,SELL,1688765857056
0.00013,30345.000000000004,BUY,1688765917832
0.00013,30369.55,SELL,1688765918195
0.00013,30330.0,BUY,1688765978827
0.00013,30351.260000000006,BUY,1688766039717
0.00013,30355.780000000002,BUY,1688766100661
0.00013,30374.82,SELL,1688766101048
0.0001,30340.01,SELL,1688766161795
